t_wall,t_rel,x,y,z,yaw,speed_est
1787001845.4533458,2.3460233211517334,3.902795263810861e-18,-1.234848187390504e-19,-0.0065423307782369045,3.922942120801001e-18,0.0
1787001845.4574878,2.350165367126465,3.927392391321688e-18,-1.232678507885589e-19,-0.006530346212986288,3.9415387135944846e-18,0.0028933926189445027
1787001845.4657679,2.358445405960083,3.976793694496538e-18,-1.2122967231715698e-19,-0.006518361647735671,3.981733396312015e-18,0.0014474044737517017
1787001845.471563,2.3642406463623047,4.012843909130458e-18,-1.32952562163477e-19,-0.006506377082485054,4.021249557661286e-18,0.0020680013974954886
1787001845.5343952,2.427072763442993,4.057823475225138e-18,-1.2241560420877192e-19,-0.0064943925172344374,4.039525823997315e-18,0.00019073947858905144
1787001845.5621612,2.454838752746582,4.0774304551120366e-18,-1.0673787637090729e-19,-0.006482407951983821,4.069959926736599e-18,0.00043162752530008714
1787001845.5630875,2.4557650089263916,4.11470166572553e-18,-9.545443324131268e-20,-0.006470423386733204,4.117175345719224e-18,0.012938715564716305
1787001845.5696273,2.4623048305511475,4.1391285589267546e-18,-8.792204778677932e-20,-0.006458438821482587,4.1786966865746915e-18,0.0018325523138506324
1787001845.6242573,2.516934871673584,2.0904456286366048e-14,4.140610437142345e-14,-0.006446452736168999,2.052959739894919e-13,0.00021940465478920173
1787001845.7260995,2.61877703666687,2.0904456286366048e-14,4.140610437142345e-14,-0.006446452736168999,2.052959739894919e-13,0.0
1787001845.7266831,2.6193606853485107,-8.785600638985297e-13,-4.902339111501481e-14,-0.006434460344281634,1.1260403187521513e-12,0.020547278293604348
1787001845.7269423,2.619619846343994,-1.4255849213901047e-12,2.2737367390771423e-13,-0.0064224636838625115,2.470236818646498e-13,0.046290377904845276
1787001845.7271562,2.6198337078094482,-1.7769670891961195e-12,3.2273303971327997e-13,-0.006410465097404221,5.468573060003235e-13,0.0561044806871294
1787001845.7273517,2.6200292110443115,-2.5061153655059477e-12,4.805114911838969e-14,-0.006398465729935382,3.9022351526107575e-12,0.061376823136610074
1787001845.7275445,2.6202220916748047,-1.2866973471242227e-09,-1.5431785748894897e-12,-0.00638628842138185,-7.063971955501583e-13,0.06313391132178861
1787001845.740991,2.6336686611175537,-7.402016263956623e-09,-9.618453032999447e-13,-0.006373442539985667,5.1450774956496745e-12,0.0009553278928490751
1787001845.7572088,2.6498863697052,-2.5355982218680395e-08,-8.93972076756947e-13,-0.006358959704915658,9.965931571512397e-12,0.0008930266640474762
1787001845.7906733,2.6833508014678955,-4.594598878179586e-07,3.78284033338618e-07,-0.006339261814863342,1.7932644371264585e-06,0.0005888731104582133
1787001845.8225462,2.715223789215088,-4.594598878179586e-07,3.78284033338618e-07,-0.006339261814863342,1.7932644371264585e-06,0.0
1787001845.8232508,2.715928316116333,-7.124069686729702e-10,-2.215258616751416e-07,-0.0063132468241517,7.380473796624921e-07,0.03694102784556249
1787001845.8234973,2.716174840927124,5.754799763885561e-07,-1.8956576496127207e-06,-0.006284093600408845,-6.435981207663243e-06,0.11847463513428678
1787001845.8282864,2.720963954925537,-7.001294287104166e-07,-3.033666877894692e-06,-0.006253248298242919,-1.1426422373398723e-05,0.006450595082464715
