timestamp,scenario,ordering,planner,rep,status,run_dir,tour_s,coverage,aruco
2026-08-18T06:38:15+01:00,3,nn_2opt,straight,1,ok,20260818_053554__scenario3__straight__drone0,115.1,20,20
2026-08-18T06:42:43+01:00,3,nn_2opt,straight,2,ok,20260818_053934__scenario3__straight__drone0,158.8,20,18
2026-08-18T06:44:26+01:00,3,nn_2opt,straight,3,no_mission,20260818_054409__scenario3__straight__drone0,,0,0
2026-08-18T06:48:30+01:00,3,nn_2opt,straight,3,ok,20260818_054548__scenario3__straight__drone0,135.7,20,20
2026-08-18T06:53:16+01:00,3,nn_2opt,astar,1,ok,20260818_054958__scenario3__astar__drone0,170.5,20,20
2026-08-18T06:57:50+01:00,3,nn_2opt,astar,2,ok,20260818_055438__scenario3__astar__drone0,164.3,20,20
2026-08-18T06:59:25+01:00,3,nn_2opt,astar,3,no_mission,20260818_055909__scenario3__astar__drone0,,0,0
2026-08-18T07:03:44+01:00,3,nn_2opt,astar,3,ok,20260818_060044__scenario3__astar__drone0,153.4,20,20
2026-08-18T07:08:00+01:00,3,nn_2opt,rrts,1,ok,20260818_060504__scenario3__rrts__drone0,150.6,20,20
2026-08-18T07:12:22+01:00,3,nn_2opt,rrts,2,ok,20260818_060920__scenario3__rrts__drone0,152.5,20,20
2026-08-18T07:16:52+01:00,3,nn_2opt,rrts,3,ok,20260818_061343__scenario3__rrts__drone0,161.4,20,19
2026-08-18T07:20:23+01:00,4,input,straight,1,ok_incomplete,20260818_061801__scenario4__straight__drone0,115.2,1,1
2026-08-18T07:21:49+01:00,4,input,straight,2,no_mission,20260818_062133__scenario4__straight__drone0,,0,0
2026-08-18T07:24:43+01:00,4,input,straight,2,ok,20260818_062312__scenario4__straight__drone0,66.6,5,4
2026-08-18T07:27:52+01:00,4,input,straight,3,ok_incomplete,20260818_062555__scenario4__straight__drone0,89.9,3,3
2026-08-18T07:30:44+01:00,4,input,astar,1,ok,20260818_062901__scenario4__astar__drone0,78.8,5,5
2026-08-18T07:32:07+01:00,4,input,astar,2,no_mission,20260818_063151__scenario4__astar__drone0,,0,0
