t_wall,t_rel,x,y,z,yaw,speed_est
1776225495.1775486,1.5261354446411133,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.17885,1.5274367332458496,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.1899934,1.5385801792144775,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2008843,1.549471139907837,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2135522,1.5621390342712402,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.225932,1.5745186805725098,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2370589,1.5856456756591797,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2495086,1.598095417022705,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2609377,1.6095244884490967,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2732854,1.6218721866607666,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.2856872,1.6342740058898926,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.300566,1.6491527557373047,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3092859,1.6578726768493652,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3219047,1.6704914569854736,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3336735,1.682260274887085,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3460293,1.6946160793304443,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3573172,1.7059040069580078,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3690808,1.717667579650879,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3818796,1.730466365814209,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
1776225495.3935974,1.7421841621398926,8.387457023322261,7.770685727129816,0.02449999546149835,-1.85394308440633,0.0
