t_wall,t_rel,x,y,z,yaw,speed_est
1787001383.0355625,2.277606725692749,5.551653071670832e-18,1.7024149393088065e-21,-0.0058951642547036,5.8868703804249474e-18,0.0
1787001383.045454,2.2874982357025146,5.594410893724543e-18,-1.73533736066098e-21,-0.005883179689452983,5.931395570750759e-18,0.0012116011851360114
1787001383.0575335,2.2995777130126953,5.5809394718849535e-18,1.450694773425309e-21,-0.005871195124202366,5.9525430596223286e-18,0.0009921427014491827
1787001383.0683606,2.3104047775268555,5.6003165506766724e-18,5.832574850526069e-21,-0.00585921055895175,5.982780708595735e-18,0.0011069080852841285
1787001383.1185133,2.3605575561523438,5.631143206628611e-18,6.166576302739381e-21,-0.005847225993701133,5.997073226807319e-18,0.0002389611419161937
1787001383.1255908,2.3676350116729736,5.66598144983271e-18,1.4540971419411034e-20,-0.005835241428450516,6.0149728523717914e-18,0.001693343775271108
1787001383.1433282,2.3853724002838135,1.8786966297122117e-14,-2.662448983018074e-13,-0.005823256481119789,-4.914537408015036e-13,0.0006756883774538832
1787001383.1563218,2.3983659744262695,1.1915068800695988e-13,4.492683707606905e-13,-0.005811266187595129,2.0058665007844562e-12,0.0009227864014321901
1787001383.2031834,2.44522762298584,1.3179837127294567e-13,9.28545189255464e-13,-0.00579927061765053,9.526104586192472e-13,0.00025597840266653257
1787001383.2203705,2.4624147415161133,9.956216286461393e-13,1.1386756129976829e-12,-0.0057872724943552264,2.0125584636876165e-12,0.0006980881218786153
1787001383.223606,2.4656503200531006,7.776378873753913e-13,9.712470417760203e-13,-0.005775273317556839,1.6590585721364344e-12,0.003708510444490615
1787001383.2538772,2.4959213733673096,4.73563013455682e-13,8.949079359830504e-13,-0.005763273703505364,2.1122323081131974e-12,0.00039640556695932563
1787001383.2884734,2.530517578125,8.534616099900336e-09,3.1398922228290063e-12,-0.005750092703261454,-2.5498098726426794e-12,0.0003809956351853559
1787001383.2994342,2.541478395462036,6.661876039504833e-08,3.199947490543889e-12,-0.005730069722060853,1.1686242856838379e-12,0.0018267857981865328
1787001383.3209746,2.563018798828125,1.8127109810448855e-07,1.9623153579717264e-12,-0.005702335064457331,9.705175812795764e-12,0.001287575451205228
1787001383.3283265,2.570370674133301,2.1101794383335123e-06,-1.4618070142426378e-06,-0.005674922508871583,1.3439928187451736e-06,0.003743152338827784
1787001383.338975,2.581019163131714,3.656102440242629e-06,-2.8909933185037958e-06,-0.0056471914878601995,7.912687609472622e-06,0.0026117155997123225
