t_wall,t_rel,x,y,z,yaw,speed_est
1775005960.7890952,3.5128955841064453,1.1145572487680121e-17,8.064767907939707e-19,-0.002851084681046945,1.5767498761301596e-17,0.0
1775005960.80426,3.5280604362487793,1.1129399716681902e-17,8.186869775737562e-19,-0.002839100115796328,1.5829590729129667e-17,0.0007902856643857945
1775005960.8238685,3.547668933868408,1.1100415376855518e-17,8.196426048005019e-19,-0.0028271155505457113,1.5913973274925954e-17,0.0006111924270332528
1775005960.8265958,3.550396203994751,1.1054391903943085e-17,8.258464137937049e-19,-0.0028151309852950945,1.5987456693008036e-17,0.004394344782666566
1775005960.85578,3.579580307006836,1.108392371563442e-17,8.239218795703639e-19,-0.0028031464200444778,1.604026787968022e-17,0.00041065388391940693
1775005960.8898423,3.613642692565918,1.106166365194217e-17,8.308650801695059e-19,-0.002791161854793861,1.612470907695877e-17,0.0003518416298185937
1775005960.895298,3.619098424911499,1.1046187434228954e-17,8.437462538618027e-19,-0.0027791772895432443,1.6170247629521e-17,0.0021966923029726367
1775005960.8995585,3.623358964920044,1.10294190671436e-17,8.568072464230597e-19,-0.0027671927242926275,1.6214931564021998e-17,0.002812921654668318
1775005960.9291537,3.6529541015625,1.1052729056685974e-17,8.619782538286068e-19,-0.0027552081590420108,1.630141969002414e-17,0.0004049504955967715
1775005960.9384859,3.6622862815856934,1.2888551067207272e-13,-4.396143647944024e-16,-0.002743222073186974,3.981673654723633e-13,0.0012843821942191186
1775005960.9543579,3.6781582832336426,4.743862869433658e-13,-7.919337754260873e-14,-0.002731229677601567,-9.641179321946854e-13,0.0007555691998656362
1775005960.9585433,3.6823437213897705,4.0000842284166195e-13,1.3115414149764472e-13,-0.002719233019631284,-9.12121546537198e-13,0.0028662848482704888
1775005960.9774382,3.7012386322021484,1.2138155666055236e-12,1.0751842831784873e-12,-0.002707234426571628,-4.770155068871845e-13,0.0006350171841931099
1775005961.0179448,3.7417452335357666,1.4632779363413686e-12,2.0337895139934904e-12,-0.0026952350453925897,-3.1900268609467544e-12,0.0002962327320480381
1775005961.026096,3.74989652633667,1.6457697920040292e-12,2.720262522271642e-12,-0.0026832353624678257,-6.435206265547391e-12,0.001472120216738408
1775005961.044116,3.767916440963745,1.90872596045964e-12,2.848448799673152e-12,-0.0026712354961308804,-6.150411700525216e-12,0.0006659224854991986
1775005961.0522845,3.7760848999023438,-3.22324250554684e-08,2.051552787804581e-08,-0.002657613898480675,8.772179481745379e-08,0.0016675913213659507
1775005961.0729039,3.7967042922973633,-1.217918839503585e-08,1.8960847131560556e-08,-0.002642621097484567,7.038451311406892e-08,0.0007271220315481368
1775005961.0871508,3.8109512329101562,1.3346446766460763e-07,1.3535077769058995e-07,-0.0026265793786957245,-5.474459979319282e-07,0.0011260524327651874
1775005961.104354,3.8281543254852295,5.945543221900167e-07,-2.540085956107011e-07,-0.0026039625165808836,1.2062189628419225e-06,0.0013151654099039503
1775005961.1160452,3.839845657348633,2.0108099060786424e-06,-1.4916794120141212e-06,-0.002573843896012791,4.984364551256731e-06,0.002581167972394205
1775005961.1411753,3.864975690841675,3.6569264165830375e-06,-2.9407309048096313e-06,-0.002534888273182427,1.1936263761194842e-05,0.0015526164683793034
1775005961.1531498,3.876950263977051,3.935303280674113e-06,-2.2155066785105746e-06,-0.0024868109019198295,1.0244625455935303e-05,0.004015478970904207
