t_wall,t_rel,x,y,z,yaw,speed_est
1786994777.557381,1.6262340545654297,6.97030615831011e-18,1.1102087852756005e-19,-0.005295935992172762,7.721080686786356e-18,0.0
1786994777.571283,1.6401362419128418,7.01577011579969e-18,1.0763027495079201e-19,-0.0052839514269221455,7.770993657286034e-18,0.0008620632819228751
1786994777.575138,1.643991231918335,7.081838825211983e-18,1.0228845995129707e-19,-0.005271966861671529,7.825211585714543e-18,0.0031088447009043753
1786994777.5893753,1.6582283973693848,7.093890071561904e-18,1.1265133297734557e-19,-0.005259982296420912,7.877829636327048e-18,0.0008417802891890286
1786994777.6146529,1.6835060119628906,7.15209461243456e-18,1.0949801378378724e-19,-0.005247997731170295,7.943360032266713e-18,0.00047411772998927435
1786994777.6273148,1.6961679458618164,7.16541081315683e-18,1.0227864865472371e-19,-0.0052360131659196785,7.97454588946879e-18,0.0009465035393711465
1786994777.6381233,1.7069764137268066,7.170685421630698e-18,1.0447663027114955e-19,-0.005224028600669062,7.996976228827119e-18,0.0011088125903057936
1786994777.6512532,1.7201063632965088,7.169209247498942e-18,1.1621721126469626e-19,-0.005212044035418445,8.027468553840768e-18,0.0009127655203087441
1786994777.6705327,1.7393858432769775,7.262726002616837e-18,1.138659122669847e-19,-0.005200059470167828,8.060628713336107e-18,0.0006216228478547048
1786994777.6734192,1.7422723770141602,7.269123017220481e-18,1.1611912503373318e-19,-0.0051880749049172115,8.106755239386858e-18,0.004151888161305265
1786994777.6922576,1.761110782623291,7.284307247143863e-18,1.1517399350230971e-19,-0.005176090339666595,8.141978213919606e-18,0.0006361772593328125
1786994777.7016904,1.7705435752868652,7.313908097133679e-18,1.1448256801036369e-19,-0.005164105774415978,8.158876166326217e-18,0.0012705214328410386
1786994777.723651,1.792504072189331,7.331394622984911e-18,1.134538919709854e-19,-0.005152121209165361,8.192558133216948e-18,0.0005457328813571187
1786994777.7432942,1.8121473789215088,7.312292357784639e-18,1.147145862913674e-19,-0.0051401366439147445,8.198468786322326e-18,0.0006101093575545921
1786994777.7536018,1.8224549293518066,7.333704177894964e-18,1.0928239577812589e-19,-0.005128152078664128,8.217698441914587e-18,0.0011626977070506985
1786994777.7566764,1.8255295753479004,7.386833795007052e-18,1.0945530391163014e-19,-0.005116167513413511,8.238031719110629e-18,0.0038978683288556797
1786994777.774409,1.8432621955871582,2.150218728443034e-13,-4.0796279453553603e-14,-0.005104182566004867,-3.8390343042907895e-14,0.0006758700771198506
1786994777.786443,1.8552961349487305,2.3941927129101805e-14,1.6277064094463825e-13,-0.005092192285533377,-1.1946091316410349e-12,0.0009963720201032443
1786994777.8012779,1.870131015777588,1.2833096047520754e-13,4.007808040885937e-13,-0.005080196728058137,-5.953491208422615e-13,0.0008086049098490961
1786994777.8103833,1.8792364597320557,8.635568053390201e-13,1.3969590833328685e-13,-0.005068198610894109,5.31286156041568e-14,0.0013176861253580674
1786994777.8214674,1.8903205394744873,1.266030356469913e-12,7.106942565471492e-13,-0.005056199423959233,1.8585980780963837e-12,0.0010825605024241346
1786994777.8442154,1.9130685329437256,2.2282458305151358e-12,6.379463066780593e-13,-0.005044199803156048,3.2962964001449e-12,0.0005275023847449317
1786994777.8685672,1.93742036819458,3.070258635304853e-12,2.6754277391405107e-13,-0.005032200005769115,2.9333004756290724e-12,0.0004927676810934354
1786994777.875335,1.944188117980957,1.3941605471943286e-08,-1.9224758277713077e-08,-0.0050194683276067326,-6.063442790374137e-08,0.0018812309422145933
1786994777.894399,1.963252067565918,-3.893644203440353e-08,-1.925121788057819e-08,-0.005000158316590467,-6.073432098616378e-08,0.0010129109568847048
1786994777.911543,1.980396032333374,-2.204080594323732e-07,6.728064369780407e-08,-0.004975113188635333,3.3624355631376745e-07,0.0014609184759455944
1786994777.9381344,2.0069875717163086,-3.7922580173558256e-06,3.210529116539202e-07,-0.0049465520924063325,1.7687240103757004e-06,0.001082475734028323
1786994777.95788,2.026733160018921,-8.954656792726313e-06,-1.6532653572270687e-07,-0.004915209974583196,8.049462383014684e-06,0.0016088732467459531
1786994777.962352,2.031205177307129,-1.127133010464304e-05,-2.2397922666274234e-06,-0.004881409808506189,1.7002077512581258e-05,0.007590068362588221
1786994777.9774983,2.046351432800293,-1.476228670308059e-05,-5.912753590860062e-06,-0.00484470723543922,3.258277329803756e-05,0.0024461970785846885
1786994777.987047,2.0559000968933105,-1.5659710664644415e-05,-7.136464681908469e-06,-0.00480306996651788,3.7789924657905325e-05,0.004363428529113314
1786994778.003536,2.0723891258239746,-1.174395602278368e-05,-9.953805544280471e-06,-0.004761111139257826,4.676754074622791e-05,0.0025614133638143218
1786994778.0174923,2.0863454341888428,-6.497192560451104e-06,-9.958378559924688e-06,-0.004717515052169732,5.804267860661293e-05,0.0031462958257691266
1786994778.046659,2.1155121326446533,-3.4468769978511566e-06,-6.669034157355074e-06,-0.004671800064875664,7.144369482206696e-05,0.0015748976598480334
1786994778.0590978,2.12795090675354,1.8921996918370004e-06,-1.0049849734925667e-06,-0.004615021218609988,9.513921766352507e-05,0.004607359130415759
1786994778.0756094,2.1444625854492188,8.801810126720449e-06,6.313040368369233e-06,-0.004548353630826021,0.00012627400233873202,0.00408335337082761
1786994778.0808933,2.1497464179992676,1.29267689012632e-05,1.0893540639760408e-05,-0.004477205990900353,0.00014565705950647594,0.013515599543954754
1786994778.1023178,2.171170949935913,7.5181352675606225e-06,1.1469982978325163e-05,-0.004407154937001195,0.00015484005761223657,0.0032795072720087945
1786994778.119284,2.1881370544433594,-6.777740201707704e-06,1.3319197178457195e-05,-0.004335161502661146,0.00014775105654844223,0.004327592250979729
1786994778.1337416,2.202594757080078,-2.2476236740364325e-05,1.8523368969317815e-05,-0.00426395847571924,0.00012951485748081466,0.005056027681440069
1786994778.1465144,2.215367555618286,-3.312291024101314e-05,2.552323671148689e-05,-0.00418598720222272,9.973213127554596e-05,0.006185449605554591
1786994778.1575468,2.2263998985290527,-3.4561628240876906e-05,2.7575725152487163e-05,-0.0040968631013761705,9.09994388809881e-05,0.008081632438535984
1786994778.1758933,2.244746446609497,-3.393230799116891e-05,2.7650497120989503e-05,-0.003999995436248405,9.069320384370253e-05,0.005279998056949564
1786994778.1877315,2.256584644317627,-2.8885326975792367e-05,2.6575745147460786e-05,-0.003900136278065028,9.416385892253337e-05,0.008446589175758022
1786994778.2010074,2.2698605060577393,-2.2702753626419022e-05,2.189329601460357e-05,-0.0037973455245247645,0.00011162085041879144,0.007764687731588611
1786994778.2114668,2.280319929122925,-1.4240465950532294e-05,1.717403359946648e-05,-0.0036940287971007416,0.0001356952163079643,0.00992120422951373
1786994778.2279685,2.2968215942382812,5.801465818987977e-06,1.0025362071751602e-05,-0.0035942334686905886,0.00015694820125193435,0.00618353777922025
1786994778.2551398,2.323992967605591,3.444105081991504e-05,5.1859189976823545e-06,-0.0034942853927970724,0.0001742801713380702,0.0038306111760263023
1786994778.2607853,2.3296384811401367,6.072681898750039e-05,9.068987424659997e-06,-0.003393413379101304,0.000191130758269498,0.018477133802135597
1786994778.2677145,2.3365676403045654,8.53963237523612e-05,1.627767539298406e-05,-0.003296376747692592,0.0002198156236597051,0.014486975012020382
1786994778.2803962,2.3492493629455566,0.00010416023957478767,2.1883220652436556e-05,-0.003204220160316733,0.00025147790864225926,0.00742914430072905
1786994778.2921824,2.3610355854034424,0.00011868627447215076,2.996577335770726e-05,-0.003106589453917792,0.00028241582287907586,0.008402674629018744
1786994778.3062315,2.375084638595581,0.00012951524379628424,3.793867429256718e-05,-0.0030034996853102944,0.00031038254237412136,0.007400010295437853
1786994778.318153,2.3870060443878174,0.00014032632388633846,4.774437469779125e-05,-0.002899809684921713,0.0003399817238323499,0.008783545671731532
1786994778.3325682,2.401421308517456,0.0001493469471077528,6.290538731395696e-05,-0.0027973695521010394,0.000364554561430163,0.007210974780109984
